CourseCode,CourseName,Credit,Link,Note
EECS 411,Microwave Circuits I,['4'],https://atlas.ai.umich.edu/course/EECS%20411/,"Prerequisite: EECS 311 or 330, or graduate standing. (4 credits)"
EECS 413,Monolithic Amplifier Circuits,['4'],https://atlas.ai.umich.edu/course/EECS%20413/,Prerequisite: EECS 311 and EECS 320 or graduate standing. (4 credits)
EECS 414,Introduction to MEMS,['4'],https://atlas.ai.umich.edu/course/EECS%20414/,Prerequisite: MATH 215 and MATH 216 and PHYSICS 240 or graduate standing. (4 credits)
EECS 417 (BIOMEDE 417),Electrical Biophysics,['4'],https://atlas.ai.umich.edu/course/EECS%20417/,Prerequisite: EECS 215 and 216 or graduate standing. (4 credits)
EECS 418,Power Electronics,['4'],https://atlas.ai.umich.edu/course/EECS%20418/,Prerequisite: (EECS 215 and EECS 216 and preceded or accompanied by EECS 320) or graduate standing. (4 credits)
EECS 419,Electric Machinery and Drives,['4'],https://atlas.ai.umich.edu/course/EECS%20419/,Prerequisite: ((Phys 240 or 260) and EECS 215 and EECS 216) or graduate standing. (4 credits) 
EECS 421,Properties of Transistors,['4'],https://atlas.ai.umich.edu/course/EECS%20421/,Prerequisite: EECS 320 or graduate standing. (4 credits)
EECS 423,Micro/Nano Device Fabrication and Characterization ,['4'],https://atlas.ai.umich.edu/course/EECS%20423/,Prerequisite: Senior undergraduate or graduate standing. (4 credits)
EECS 425,Integrated Microsystems Laboratory,['4'],https://atlas.ai.umich.edu/course/EECS%20425/,Prerequisite: EECS 311 or EECS 312 or EECS 414 or graduate standing. (4 credits)
EECS 427,VLSI Design I,['4'],https://atlas.ai.umich.edu/course/EECS%20427/,Prerequisite: (EECS 270 and EECS 312) or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)
EECS 428,Introduction to Quantum Nanotechnology,['3'],https://atlas.ai.umich.edu/course/EECS%20428/,"Advisory Prerequisite: PHYSICS 240, MATH 215, MATH 216. (3 credits)"
EECS 429,Semiconductor Optoelectronic Devices,['4'],https://atlas.ai.umich.edu/course/EECS%20429/,Prerequisite: EECS 320 or graduate standing. (4 credits) 
EECS 430 (SPACE 431)(CLIMATE 431),Wireless Link Design,['4'],https://atlas.ai.umich.edu/course/EECS%20430/,Prerequisite: EECS 330 (“C” or better) or graduate standing. (4 credits)
EECS 434,Principles of Photonics,['4'],https://atlas.ai.umich.edu/course/EECS%20434/,Prerequisite: EECS 330 or EECS 334 or permission of instructor or graduate standing. (4 credits)
EECS 435,Fourier Optics,['3'],https://atlas.ai.umich.edu/course/EECS%20435/,Prerequisite: EECS 216. (3 credits)
EECS 438,Advanced Lasers and Optics Laboratory,['4'],https://atlas.ai.umich.edu/course/EECS%20438/,Prerequisite: EECS 334 or EECS 434 or graduate standing. (4 credits)
EECS 440,Extended Reality for Social Impact,['4'],https://atlas.ai.umich.edu/course/EECS%20440/,"Advisory Prerequisite: None. Enforced Prerequisite: EECS 281; (C or better, No OP/F). Minimum grade requirement of “C” for enforced prerequisite. (4 credits) "
EECS 441,Mobile App Development for Entrepreneurs,['4'],https://atlas.ai.umich.edu/course/EECS%20441/,"Prerequisite: Senior standing, EECS 281, and at least four credit hours of Upper Level Electives from list in either Computer Science or Computer Engineering. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)"
EECS 442,Computer Vision,['4'],https://atlas.ai.umich.edu/course/EECS%20442/,"Prerequisite: [(EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101)); (C or better, No OP/F)] or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits) (Credit cannot be obtained for both EECS 442 and EECS 504.)"
EECS 443,Senior Thesis,['3'],https://atlas.ai.umich.edu/course/EECS%20443/,Prerequisite: Senior standing. (3 credits)
EECS 444,Analysis of Societal Networks,['4'],https://atlas.ai.umich.edu/course/EECS%20444/.,Prerequisite: EECS 301 or MATH 425 or STATS 425. Minimum grade requirement of “C” for enforced prerequisites. (4 credits) (Credit cannot be obtained for both EECS 444 and EECS 544.)
