CourseCode,CourseName,Credit,Link,Note
EECS 545,Machine Learning (CSE),[],https://atlas.ai.umich.edu/course/EECS%20545/,"Advisory Prerequisite: Coursework in probability, linear algebra, and programming. (Credit Exclusions: No credit to a student who has taken EECS 445, 453, or 553"
ECE 546 (APPPHYS 546),Ultrafast Optics,['3'],https://atlas.ai.umich.edu/course/EECS%20546/,Prerequisite: EECS 537. (3 credits)
CSE 547 (SI 652),Incentives and Strategic Behavior in Computational Systems,['3'],https://atlas.ai.umich.edu/course/CSE%20547/,Prerequisite: None. (3 credits)
CSE 548 (SI 649),Information Visualizaiton,['3'],https://atlas.ai.umich.edu/course/CSE%20548/,"Advisory Prerequisite: SI 582, 618 and 622 are strongly encouraged. EECS 493 or graduate standing and (C or better) or equivalent. Prerequisite: {[SI 506; (C- or better) or SI 506 Waiver] and [Co-requisite: SI 507; (C- or better) or SI Waiver]} or SI 508; (C- or better); or Graduate Standing. Minimum grade requirement of “C” for enforced prerequisite. (3 credits) "
CSE 549 (SI 650),Information Retrieval,['3'],https://atlas.ai.umich.edu/course/CSE%20549/,Prerequisite: SI 507 or SI 507 Waiver or Graduate Standing. (3 credits) 
ECE 550,Information Theory,['3'],https://atlas.ai.umich.edu/course/ECE%20550/,Prerequisite: ECE 501. (3 credits)
ECE 551,"Matrix Methods for Signal Processing, Data Analysis and Machine Learning",['4'],https://atlas.ai.umich.edu/course/ECE%20551/,Prerequisite: EECS 351 or Graduate Standing. Minimum grade requirement of “C” for enforced prerequisites. (Credit Exclusions: No credit to a student who has taken ECE 505 or ECE 551.) (4 credits)
ECE 552 (APPPHYS 552),Fiber Optics: Internet to Biomedical Applications,['3'],https://atlas.ai.umich.edu/course/ECE%20552/,"Prerequisite: Any one of EECS 334, EECS 429, EECS 434, ECE 529, ECE 537, ECE 538, ECE 539 or permission of instructor. (3 credits) "
EECS 553,Machine Learning (ECE),['3'],https://atlas.ai.umich.edu/course/EECS%20553/,Advisory Prerequisite: Graduate coursework in probability and linear algebra. (3 credits) (Students may not receive credit for both EECS 553 and EECS 545)
ECE 554,Introduction to Digital Communication and Coding,['3'],https://atlas.ai.umich.edu/course/ECE%20554/,Prerequisite: EECS 216 and EECS 301. (3 credits)
ECE 555,Digital Communication Theory,['3'],https://atlas.ai.umich.edu/course/ECE%20555/,"Prerequisite: ECE 501, ECE 554. (3 credits)"
ECE 556,Image Processing,['3'],https://atlas.ai.umich.edu/course/ECE%20556/,Advisory Prerequisite: ECE 501; Corequisite: EECS 453 or ECE 551. (3 credits)
ECE 557,Communication Networks,['3'],https://atlas.ai.umich.edu/course/ECE%20557/,"Prerequisite: Graduate standing, preceded by EECS 431 or accompanied by ECE 501. (3 credits)"
ECE 558,Stochastic Control,['3'],https://atlas.ai.umich.edu/course/ECE%20558/,"Prerequisite: ECE 501, ECE 560. (3 credits)"
ECE 559,Optimization Methods in Signal Processing and Machine Learning,['3'],https://atlas.ai.umich.edu/course/ECE%20559/,Advisory Prerequisite: ECE 551 or ECE 501. (3 credits)
ECE 560 (AEROSP 550) (CEE 571) (MECHENG 564),Linear Systems Theory,['4'],https://atlas.ai.umich.edu/course/ECE%20560/,Prerequisite: Graduate standing. (4 credits)
ECE 561 (MECHENG 561),Design of Digital Control Systems,['3'],https://atlas.ai.umich.edu/course/ECE%20561/,Prerequisite: EECS 460 or MECHENG 461. (3 credits) 
ECE 562 (AEROSP 551),Nonlinear Systems and Control,['3'],https://atlas.ai.umich.edu/course/ECE%20562/,Prerequisite: Graduate standing. (3 credits)
ECE 563,"Hybrid Systems, Analysis, and Control",['3'],https://atlas.ai.umich.edu/course/ECE%20563/,Advisory Prerequisite: (EECS 562) or (ECE 560 and permission of instructor.) (3 credits)
ECE 564,"Estimation, Filtering, and Detection",['3'],https://atlas.ai.umich.edu/course/ECE%20564/,Prerequisite: ECE 501. (3 credits)
ECE 565,Linear Feedback Control Systems,['3'],https://atlas.ai.umich.edu/course/ECE%20565/,Prerequisite: EECS 460 or AEROSP 348 or MECHENG 461 and AEROSP 550 (ECE 560). (3 credits)
ECE 566,Discrete Event Systems,['3'],https://atlas.ai.umich.edu/course/ECE%20566/,Prerequisite: Graduate standing (3 credits)
EECS 567 (MFG 567) (MECHENG 567) (ROB 510),Robot Kinematics and Dynamics,['3'],https://atlas.ai.umich.edu/course/EECS%20567/,Prerequisite: Graduate standing or permission of instructor (3 credits)
EECS 568 (NAVARCH 568) (ROB 530),Mobile Robotics: Methods and Algorithms,['4'],https://atlas.ai.umich.edu/course/EECS%20568/,Prerequisite: Graduate Standing or permission of instructor. (4 credits)
ECE 569 (MFG 564),Production Systems Engineering,['3'],https://atlas.ai.umich.edu/course/ECE%20569/,Prerequisite: None. (3 credits)
EECS 570,Parallel Computer Architecture,['4'],https://atlas.ai.umich.edu/course/EECS%20570/,Prerequisite: EECS 470. (4 credits)
EECS 571,Principles of Real-Time Computing,['4'],https://atlas.ai.umich.edu/course/EECS%20571/,"Prerequisite: EECS 470, EECS 482 or permission of instructor. (4 credits)"
CSE 572,Randomness and Computation,['4'],https://atlas.ai.umich.edu/course/CSE%20572/,"Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing. Advisory Prerequisite: Coursework in probability and algorithms. (4 credits)"
EECS 573,Microarchitecture,['3'],https://atlas.ai.umich.edu/course/EECS%20573/,Prerequisite: EECS 470 or permission of instructor. (3 credits)
CSE 574,Computational Complexity,['4'],https://atlas.ai.umich.edu/course/CSE%20574/,"Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing. Advised Prerequisite: Coursework in probability and algorithms. (4 credits)"
CSE 575,Advanced Cryptography,['4'],https://atlas.ai.umich.edu/course/CSE%20575/,"Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing. (4 credits)"
CSE 576,Advanced Data Mining,['4'],https://atlas.ai.umich.edu/course/CSE%20576/,"Advisory Prerequisite: EECS 281 and (MATH 214 or 217 or 296 or 417 or 419 or ROB 101) and (STATS 412 or MATH 425), or graduate standing. (4 credits)"
EECS 578,Correct Operation for Processors and Embedded Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20578/,Prerequisite: EECS 470 or graduate standing or permission of instructor. Minimum grade requirement of “C” for enforced prerequisite. (4 credits)
EECS 579,Digital System Testing,['4'],https://atlas.ai.umich.edu/course/EECS%20579/,Prerequisite: Graduate standing. (4 credits)
CSE 582,Advanced Operating Systems,['4'],https://atlas.ai.umich.edu/course/CSE%20582/,Prerequisite: EECS 482. (4 credits)
CSE 583,Advanced Compilers,['4'],https://atlas.ai.umich.edu/course/CSE%20583/,Prerequisite: EECS 281 and 370 (EECS 483 is also recommended) (4 credits)
CSE 584,Advanced Database Systems,['4'],https://atlas.ai.umich.edu/course/CSE%20584/,Prerequisite: EECS 484 or permission of instructor. (4 credits)
CSE 585,Advanced Scalable Systems,['4'],https://atlas.ai.umich.edu/course/CSE%20585/,"Advisory Prerequisite: Students are expected to have systems programming skills and must have taken at least one undergraduate-level systems-related course. Enforced Prerequisite: EECS 482 or 483 or 484 or 485 or 489 or 491; (C or better, No OP/F) or Graduate Standing in CSE. Minimum grade requirement of “C” for enforced prerequisite. (4 credits)"
CSE 586,Design and Analysis of Algorithms,[],https://atlas.ai.umich.edu/course/CSE%20586/,"Prerequisite: EECS 376 (B+ or better, No OP/F); or Graduate Standing"
CSE 587,Parallel Computing,['4'],https://atlas.ai.umich.edu/course/CSE%20587/,Prerequisite: EECS 281 and graduate standing. (4 credits)
CSE 588,Computer and Network Security,['4'],https://atlas.ai.umich.edu/course/CSE%20588/,Prerequisite: EECS 482 or EECS 489 or graduate standing. (4 credits)
CSE 589,Advanced Computer Networks,['4'],https://atlas.ai.umich.edu/course/CSE%20589/,"Prerequisite: EECS 489. (4 credits)Advanced topics and research issues in computer networks. Topics include routing protocols, multicast delivery, congestion control, quality of service support, network security, pricing and accounting and wireless access and mobile networking. Emphasis is placed on performance trade-offs in protocol and architecture designs. Readings assigned from research publications. A course project allows in-depth exploration of topics of interest. "
CSE 590,Advanced Programming Languages,['4'],https://atlas.ai.umich.edu/course/CSE%20590/,Prerequisite: EECS 281 or equivalent. (4 credits)
CSE 591,Distributed Systems,['4'],https://atlas.ai.umich.edu/course/CSE%20591/,Prerequisite: EECS 482 and graduate standing. (4 credits)
CSE 592,Foundations of Artificial Intelligence,['4'],https://atlas.ai.umich.edu/course/CSE%20592/,Advisory Prerequisite: Graduate standing. (4 credits) (Credit Exclusions: No credit to a student who has taken both EECS 492 and EECS 592.)
CSE 593,Human-Computer Interaction,['3'],https://atlas.ai.umich.edu/course/CSE%20593/,Prerequisite: Graduate standing. (3 credits)
CSE 595 (LING 541) (SI 561),Natural Language Processing,['3'],https://atlas.ai.umich.edu/course/CSE%20595/,Prerequisite: Senior Standing. (3 credits)
ECE 596,Master of Engineering Team Project,[],https://atlas.ai.umich.edu/course/ECE%20596/,Prerequisite: Enrollment in the Masters of Engineering program in ECE. (1-6 credits)
CSE 597 (SI 565) (LING 702),Language and Information,['3'],https://atlas.ai.umich.edu/course/CSE%20597/,Advisory Prerequisite: Background in computation and probability. (3 credits)
CSE 598,Special Topics,[],https://atlas.ai.umich.edu/course/CSE%20598/,Prerequisite: Permission of instructor or counselor. (1-4 credits)
ECE 598,Special Topics,[],https://atlas.ai.umich.edu/course/ECE%20598/,Prerequisite: Permission of instructor or counselor. (1-4 credits)
CSE 599,Directed Study,[],https://atlas.ai.umich.edu/course/CSE%20599/,Prerequisite: Prior arrangement with instructor; mandatory satisfactory/unsatisfactory. (1-4 credits)
ECE 599,Directed Study,[],https://atlas.ai.umich.edu/course/ECE%20599/,Prerequisite: Prior arrangement with instructor. (1-4 credits)
ECE 600 (IOE 600),Function Space Methods in System Theory,['3'],https://atlas.ai.umich.edu/course/ECE%20600/,Prerequisite: (ECE 551 or MATH 419) or MATH 451. (3 credits)
CSE 601,Introduction to CSE Graduate Research,[],https://atlas.ai.umich.edu/course/CSE%20601/,Prerequisite: Graduate Standing. (1 credit)
ECE 602,Reinforcement Learning Theory,[],https://atlas.ai.umich.edu/course/ECE%20602/,Prerequisite: None. Advisory Prerequisite: ECE 501
ECE 605,Data Science and Machine Learning Design Laboratory,['4'],https://atlas.ai.umich.edu/course/ECE%20605/,Advisory Prerequisite: ECE 505 or ECE 551 or graduate equivalent. (4 credits)
ECE 620,Electronic and Optical Properties of Semiconductors,['4'],https://atlas.ai.umich.edu/course/ECE%20620/,Prerequisite: ECE 520 or ECE 540. (4 credits)
EECS 627,VLSI Design II,['4'],https://atlas.ai.umich.edu/course/EECS%20627/,Prerequisite: EECS 427. (4 credits)
EECS 628,Advanced High Performance VLSI Design,[],https://atlas.ai.umich.edu/course/EECS%20628/,Prerequisite: EECS 627 or equivalent. (3-4 credits)
ECE 631,Electromagnetic Scattering,['3'],https://atlas.ai.umich.edu/course/ECE%20631/,Prerequisite: ECE 530 and graduate standing. (3 credits)
ECE 633,Numerical Methods in Electromagnetics,['3'],https://atlas.ai.umich.edu/course/ECE%20633/,Prerequisite: ECE 530. (3 credits) 
ECE 634 (APPPHYS 611) (Physics 611),Nonlinear Optics,['3'],https://atlas.ai.umich.edu/course/ECE%20634/,"Prerequisite: ECE 530 or ECE 537 or ECE 538, Graduate Standing. (3 credits)"
ECE 638 (PHYSICS 542),Quantum Optics,['3'],https://atlas.ai.umich.edu/course/ECE%20638/,"Prerequisite: PHYSICS, Quantum mechanics, electrodynamics, atomic physics. (3 credits)"
CSE 643 (PSYCH 643),Theory of Neural Computation,[],https://atlas.ai.umich.edu/course/CSE%20643/,Prerequisite: Graduate standing and permission of instructor. (2-4 credits)
CSE 644 (PSYCH 644),Computational Modeling of Cognition,[],https://atlas.ai.umich.edu/course/CSE%20644/,Prerequisite: Graduate standing. (2-4 credits)
ECE 650,Channel Coding Theory,['3'],https://atlas.ai.umich.edu/course/ECE%20650/,Prerequisite: ECE 501 and MATH 419. (3 credits)
ECE 659,Adaptive Signal Processing,['3'],https://atlas.ai.umich.edu/course/ECE%20659/,Prerequisite: ECE 559 or ECE 564. (3 credits)
ECE 662 (AEROSP 672) (MECHENG 662),Advanced Nonlinear Control,['3'],https://atlas.ai.umich.edu/course/ECE%20662/,Prerequisite: ECE 562/AEROSP 551 or MECHENG 648. (3 credits)
CSE 670,Special Topics in Computer Architecture,['3'],https://atlas.ai.umich.edu/course/CSE%20670/,"Prerequisite: CSE 570, graduate standing, and permission of instructor. (3 credits)"
CSE 692,Advanced Artificial Intelligence,['4'],https://atlas.ai.umich.edu/course/CSE%20692/,"Prerequisites: CSE 592 or EECS 492 (C or better, No OP/F). Minimum grade requirement of “C” for enforced prerequisites. (4 credits)"
CSE 695 (PSYCH 740),Neural Models and Psychological Processes,['3'],https://atlas.ai.umich.edu/course/CSE%20695/,Prerequisite: Graduate standing and permission of instructor. (3 credits)
CSE 698,Master’s Thesis,[],https://atlas.ai.umich.edu/course/CSE%20698/,"Prerequisite: Election of a CSE, Master’s Thesis Option. May be elected for a maximum of 6 credit hours. (1-6 credits)"
ECE 698,Master’s Thesis,[],https://atlas.ai.umich.edu/course/ECE%20698/,Prerequisite: Election of an ECE master’s thesis option. (1-6 credits)
CSE 699,Research Work in CSE,[],https://atlas.ai.umich.edu/course/CSE%20699/,"Prerequisite: Graduate standing, permission of instructor. (1-6 credits)"
ECE 699,Research Work in ECE,[],https://atlas.ai.umich.edu/course/ECE%20699/,Prerequisites: None. (1-6 credits)
ECE 700,Special Topics in System Theory,[],https://atlas.ai.umich.edu/course/ECE%20700/,Prerequisite: Permission of instructor (to be arranged). (1-16 credits)
ECE 720,"Special Topics in Solid-State Devices, Integrated Circuits, and Physical Electronics",[],https://atlas.ai.umich.edu/course/ECE%20720/,Prerequisite: Permission of instructor. (1-4 credits)
ECE 730,Special Topics in Electromagnetics,[],https://atlas.ai.umich.edu/course/ECE%20730/,Prerequisite: Permission of instructor. (1-4 credits)
ECE 735,Special Topics in the Optical Sciences,[],https://atlas.ai.umich.edu/course/ECE%20735/,Prerequisite: Graduate standing and permission of instructor. (1-4 credits)
ECE 750,Special Topics in Communication and Information Theory,[],https://atlas.ai.umich.edu/course/ECE%20750/,Prerequisite: Permission of instructor. (1-16 credits)
ECE 755,Special Topics in Signal Processing,[],https://atlas.ai.umich.edu/course/ECE%20755/,Prerequisite: Permission of instructor. (1-4 credits)
ECE 760,Special Topics in Control Theory,[],https://atlas.ai.umich.edu/course/ECE%20760/,Prerequisite: Permission of instructor. 
ECE 765,Special Topics in Stochastic Systems and Control,['3'],https://atlas.ai.umich.edu/course/ECE%20765/,Prerequisite: Permission of instructor. (3 credits)
ECE 820,Seminar in Solid-State Electronics,[],https://atlas.ai.umich.edu/course/ECE%20820/,Prerequisite: Graduate standing and permission of instructor. (1 credit)
CSE 990,Dissertation/Pre-Candidate,[],https://atlas.ai.umich.edu/course/CSE%20990/,Prerequisite: Election for dissertation work by doctoral students not yet admitted as a Candidate. (1-8 credits)
ECE 990,Dissertation/Pre-Candidate,[],https://atlas.ai.umich.edu/course/ECE%20990/,Prerequisites: None. (1-8 credits)
CSE 995,Dissertation/Candidate,[],https://atlas.ai.umich.edu/course/CSE%20995/,Prerequisite: Graduate School authorization for admission as a doctoral candidate. (4-8 credits)
ECE 995,Dissertation/Candidate,[],https://atlas.ai.umich.edu/course/ECE%20995/,Prerequisites: None. (4-8 credits)
